category,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,train_time_minutes
bottle,1.0,0.9841269850730896,0.9886193871498108,0.8213692307472229,492.77
cable,1.0,0.9890109896659851,0.9853804707527161,0.7365027070045471,520.46
capsule,0.9984849095344543,0.9909909963607788,0.993045449256897,0.6054911613464355,677.27
carpet,1.0,0.9772727489471436,0.9935535788536072,0.657680332660675,705.24
